st_name,value,st_num,property_id,zip_code
BENNINGTON,436400,301 299,0100328000,02128
BENNINGTON,226500,303 305,0100329000,02128
BENNINGTON,294422,307,0100330000,02128
BENNINGTON,202074,309,0100331000,02128
BENNINGTON,272000,313 315,0100332000,02128
BENNINGTON,451300,319 A319,0100333000,02128
BENNINGTON,535700,325 329,0100334000,02128
BREMEN,28500,   ,0100335000,02128
BREMEN,254800,412,0100336000,02128
BREMEN,259800,408,0100337000,02128
BREMEN,91000,404,0100338000,02128
BREMEN,601430,400,0100339000,02128
BREMEN,294900,398,0100340000,02128
BREMEN,379300,376,0100341000,02128
BREMEN,319000,372 374,0100342000,02128
BREMEN,63800,   ,0100343000,02128
BREMEN,50000,368,0100344000,02128
BREMEN,461900,366,0100345000,02128
BREMEN,596700,364 A,0100346000,02128
BREMEN,353600,364,0100347000,02128
PRESCOTT,431500,98,0100348000,02128
NEPTUNE,96600,   ,0100352000,02128
NEPTUNE,23200,38,0100356000,02128
NEPTUNE,23200,36,0100357000,02128
NEPTUNE,20800,34,0100358000,02128
FRANKFORT,63500,405,0100359001,02128
FRANKFORT,52600,409,0100359002,02128
NEPTUNE,29700, ,0100359005,02128
NEPTUNE,90900, ,0100359010,02128
FRANKFORT,114900,411,0100364000,02128
FRANKFORT,982129,   ,0100365010,02128
FRANKFORT,506600,431,0100372000,02128
FRANKFORT,263800,433,0100373000,02128
FRANKFORT,345100,435,0100374000,02128
FRANKFORT,40800,   ,0100375000,02128
FRANKFORT,303000,441,0100376000,02128
FRANKFORT,495600,443,0100377000,02128
FRANKFORT,489000,447,0100378002,02128
FRANKFORT,472900,447,0100378004,02128
FRANKFORT,486800,447,0100378006,02128
FRANKFORT,318000,449,0100379000,02128
FRANKFORT,551500,453,0100380000,02128
FRANKFORT,647700,455,0100381000,02128
SWIFT,377900,1,0100382000,02128
SWIFT,355800,5,0100383000,02128
SWIFT,339700,9,0100384000,02128
SWIFT,424905,15,0100385000,02128
SWIFT,297600,19,0100386000,02128
SWIFT,251400,27,0100389000,02128
NEPTUNE,30000,24,0100395000,02128
NEPTUNE,39200,22,0100396000,02128
NEPTUNE,30000,20,0100397000,02128
NEPTUNE,381700,18,0100398000,02128
NEPTUNE,30000,16,0100399000,02128
NEPTUNE,41900,14,0100400000,02128
VIENNA,21800,   ,0100401000,02128
VIENNA,4000,   ,0100401001,02128
VIENNA,36600,3,0100402000,02128
VIENNA,45000,5,0100403000,02128
VIENNA,45000,7,0100404000,02128
VIENNA,45000,9,0100405000,02128
VIENNA,45000,11,0100406000,02128
VIENNA,45000,15,0100407000,02128
VIENNA,45000,19,0100409000,02128
BENNINGTON,45800,423,0100410000,02128
BENNINGTON,2114603,   ,0100411010,02128
BENNINGTON,5040530,435,0100412000,02128
BENNINGTON,413600,441,0100417000,02128
BENNINGTON,34500,   ,0100418000,02128
BENNINGTON,443200,445,0100419000,02128
BENNINGTON,430700,447,0100420000,02128
BENNINGTON,415300,449,0100421000,02128
BENNINGTON,524040,451,0100422000,02128
FRANKFORT,21700,   ,0100422001,02128
FRANKFORT,757948,   ,0100428010,02128
FRANKFORT,85100,418,0100429000,02128
WM F MCCLELLAN,730300, ,0100437100,02128
FRANKFORT,45000,   ,0100430000,02128
FRANKFORT,169200,406,0100431000,02128
FRANKFORT,72000,404,0100432000,02128
FRANKFORT,2700,   ,0100432001,02128
FRANKFORT,72800,   ,0100432002,02128
CHELSEA CREEK,369300,   ,0100433000,02128
BELLE ISLE INLET,59300,   ,0100434000,02128
BELLE ISLE INLET,8558000,   ,0100435000,02128
BOSTON AND MAINE RR,4400700,   ,0100435005,02128
BOSTON AND MAINE RR,450400,   ,0100435010,02128
BOSTON AND MAINE RR,62600,   ,0100436000,02128
BOSTON AND MAINE RR,425700,   ,0100436001,02128
WM F MCCLELLAN,728000, ,0100436003,02128
WM F MCCLELLAN,12385000,150,0100437000,02128
WM F MCCLELLAN,2725000,   ,0100438010,02128
CURTIS,1944400,   ,0100439000,02128
CHELSEA,17000,   ,0100439020,02128
CHELSEA,317200,611,0100439030,02128
CHELSEA,447300,605,0100440010,02128
CHELSEA,1748700,545,0100441010,02128
CHELSEA,189900, ,0100441060,02128
CHELSEA,1215400,525,0100441100,02128
SARATOGA,272100,546,0100442000,02128
SARATOGA,539300,544,0100443000,02128
SARATOGA,499600,542,0100444000,02128
SARATOGA,482900,540,0100445010,02128
CHELSEA,637000,397 A397,0100469000,02128
CHELSEA,474900,433,0100445020,02128
SARATOGA,496500,538,0100446000,02128
SARATOGA,784821,534,0100447000,02128
SARATOGA,645800,526,0100448000,02128
SARATOGA,623400,524,0100449000,02128
SARATOGA,575600,522,0100450000,02128
SARATOGA,579300,520,0100451000,02128
SARATOGA,525700,518,0100452000,02128
SARATOGA,442700,516,0100453000,02128
SARATOGA,552500,512 514,0100454000,02128
CHELSEA,585000,429,0100455000,02128
CHELSEA,254900,431,0100456000,02128
CHELSEA,365700,435,0100457000,02128
CHELSEA,286600,437,0100458000,02128
CHELSEA,387300,439,0100459000,02128
CHELSEA,1041500,441 445,0100460000,02128
CHELSEA,671300,481,0100461000,02128
CHELSEA,4112200,   ,0100462000,02128
BREMEN,343700,452,0100463000,02128
BENNINGTON,376500,360,0100464000,02128
BENNINGTON,434500,356 354,0100465000,02128
BENNINGTON,72000,   ,0100467000,02128
BENNINGTON,906500,336 344,0100468000,02128
CHELSEA,544000,399,0100470000,02128
CHELSEA,455500,401 A401,0100471000,02128
CHELSEA,532000,403,0100472000,02128
CHELSEA,321500,405,0100473000,02128
CHELSEA,664749,407,0100474000,02128
CHELSEA,664749,409,0100475000,02128
CHELSEA,373500,411,0100476000,02128
CHELSEA,46700,413,0100477000,02128
CHELSEA,46700,415,0100478000,02128
CHELSEA,49800,   ,0100479000,02128
SARATOGA,2002500,491 493,0100481000,02128
SARATOGA,874500,511 -515,0100482010,02128
SARATOGA,874500,511 -515,0100482010,02128
BOARDMAN,3353700,   ,0100524000,02128
NEPTUNE,555000,2:00 AM,0100483000,02128
WM F MCCLELLAN,2306300, ,0100485010,02128
BENNINGTON,1090000,402 430,0100490000,02128
BENNINGTON,446900,398,0100501000,02128
BENNINGTON,56000,396,0100502000,02128
BENNINGTON,341700,394,0100503000,02128
BENNINGTON,3800,   ,0100504000,02128
BENNINGTON,1500,   ,0100506000,02128
BENNINGTON,600,   ,0100507000,02128
BENNINGTON,500,   ,0100508000,02128
WM F MCCLELLAN,161500,   ,0100509000,02128
WM F MCCLELLAN,56300,   ,0100509001,02128
SARATOGA,27800,   ,0100510000,02128
SARATOGA,568500,587,0100511000,02128
WORDSWORTH,34600,   ,0100567000,02128
SARATOGA,432600,589,0100512000,02128
SARATOGA,1100,   ,0100512001,02128
SARATOGA,508400,591,0100513000,02128
SARATOGA,270600,593,0100514000,02128
SARATOGA,289900,595,0100515000,02128
SARATOGA,213700,597,0100516000,02128
WM F MCCLELLAN,41800,   ,0100517000,02128
BENNINGTON,419500,460 A460,0100518000,02128
BENNINGTON,273900,456,0100519000,02128
BENNINGTON,162000,452,0100520000,02128
BENNINGTON,1436000,442 450,0100521000,02128
WM F MCCLELLAN,26974000,415,0100522000,02128
BOARDMAN,783902,   ,0100525000,02128
BOARDMAN,1689220,16,0100526000,02128
BOARDMAN,473877,   ,0100527000,02128
SARATOGA,113100,970,0100528000,02128
SARATOGA,1042500,964,0100529000,02128
SARATOGA,653100,960 962,0100530000,02128
SARATOGA,980000,958,0100531000,02128
SARATOGA,282000,956,0100532000,02128
SARATOGA,594500,944 946,0100533000,02128
SARATOGA,39537500,870 908A,0100534000,02128
SARATOGA,364700,910,0100536002,02128
SARATOGA,450000,910,0100536004,02128
SARATOGA,325900,910,0100536006,02128
SARATOGA,458700,910,0100536008,02128
SARATOGA,372500,910,0100536010,02128
SARATOGA,353600,910,0100536012,02128
SARATOGA,475100,910,0100536014,02128
SARATOGA,479100,910,0100536016,02128
SARATOGA,462200,910,0100536018,02128
SARATOGA,436500,910,0100536020,02128
SARATOGA,372700,910,0100536022,02128
SARATOGA,297102,910,0100536024,02128
SARATOGA,555800,910,0100536026,02128
SARATOGA,391600,910,0100536028,02128
SARATOGA,389800,910,0100536030,02128
SARATOGA,433100,910,0100536032,02128
SARATOGA,265200,910,0100536034,02128
SARATOGA,473400,910,0100536036,02128
SARATOGA,377900,910,0100536038,02128
SARATOGA,462900,910,0100536040,02128
SARATOGA,422300,910,0100536042,02128
SARATOGA,440100,864,0100539000,02128
SARATOGA,465900,862,0100540000,02128
SARATOGA,427200,860,0100541000,02128
SARATOGA,444000,858,0100542000,02128
SARATOGA,505100,856,0100543000,02128
SARATOGA,411900,854,0100544000,02128
SARATOGA,360500,852,0100545000,02128
SARATOGA,391300,850,0100546000,02128
SARATOGA,19700,   ,0100547000,02128
SARATOGA,542100,842,0100548000,02128
SARATOGA,524600,838,0100548001,02128
SARATOGA,479300,834,0100548002,02128
SARATOGA,517500,830,0100548003,02128
